Y,X1,X2,X3,X4,X5,X6,X7,X8
208.7,312.8,7.7,6.5,24.2,300,322.1,278.1,92.9
174.0,686.9,14.0,8.4,22.3,367,434.7,273.6,90.3
206.5,497.6,13.7,6.2,32.5,397,177.3,387.5,92.1
173.2,264.9,6.2,6.9,13.6,372,581.9,502.1,89.6
182.0,471.2,11.1,6.1,38.4,383,213.4,317.3,88.6
186.1,375.0,10.9,4.8,28.0,405,597.8,524.8,93.0
138.8,267.3,9.2,6.0,27.7,386,368.0,481.3,90.1
171.0,275.9,7.4,5.9,17.8,446,423.6,1253.7,90.4
126.6,303.1,6.8,5.4,22.8,411,630.2,1305.2,91.9
131.4,369.5,6.5,5.7,18.8,367,679.8,1725.9,89.3
194.8,212.8,2.2,5.7,20.8,234,1157.1,1134.6,94.2
160.5,211.1,3.7,5.6,21.1,265,930.8,1207.2,92.0
118.1,284.2,0.4,5.6,29.3,145,3396.3,1974.8,100.0
170.9,172.9,1.0,5.5,9.4,184,2410.9,1312.8,99.2
199.7,588.7,7.5,4.8,25.9,346,408.1,446.7,93.0
194.1,554.9,4.3,4.4,54.0,394,580.3,952.3,91.2
211.8,620.6,3.9,4.7,39.2,291,678.3,651.9,93.7
161.7,620.0,4.7,4.2,49.9,341,493.0,1314.9,91.2
195.0,517.6,8.5,5.3,55.4,347,673.6,1533.5,91.7
185.2,508.1,11.4,4.6,49.2,361,286.8,1583.0,90.9
179.7,374.3,3.7,4.8,28.9,297,478.7,1746.0,89.6
201.5,239.8,4.9,4.6,22.7,275,1130.8,1864.8,94.1
184.2,275.5,2.8,4.6,11.9,259,1231.8,2069.2,94.1
